,Acronym,Meaning
284,asbmaetp,Acronyms should be memorable and easy to pronounce
285,ase,"age, sex, ethnicity"
286,asf,and so forth
287,ashl,a**h**e
288,ashole,a**h**e
289,asic,application specific integrated circuit
290,asl,"age, sex, location"
291,asln,"age, sex, location, name"
292,aslo,age sex location orientation
293,aslop,Age Sex Location Orientation Picture
294,aslp,"age, sex, location, picture"
295,aslr,age sex location race
296,aslrp,"age, sex, location, race, picture"
297,asr,age sex race
298,asshle,a**h**e
299,atab,Ain't That A b***h 
300,atb,all the best
301,atfp,answer the f**king phone
302,atl,atlanta
303,atm,at the moment
304,ato,against the odds
305,atop,at time of posting
306,atp,answer the phone
307,atq,answer the question
308,atst,At the same time
309,attn,attention
310,attotp,At The Time Of This Post
311,atw,All the way
312,aty,according to you
313,audy,Are you done yet?
314,aufm,are you f**king mental
315,aufsm,are you f**king shiting me
316,aup,acceptable use policy
317,aupi,and your point is
318,av7x,avenged sevenfold
319,avgn,Angry Video Game Nerd
320,avie,Avatar
321,avsb,a very special boy
322,avtr,avatar
323,avvie,avatar
324,avy,Avatar
325,awb,Acquaintance with benefits
326,awes,awesome
327,awk,awkward
328,awol,absent without leave
329,awsic,and why should i care
330,awsm,awesome
331,awsome,awesome
332,awty,are we there yet
333,ayagob,are you a girl or boy
334,ayb,All Your Base
335,aybab2m,all your base are belong 2 me
336,aybab2u,All your base are belong to us
337,aybabtg,All Your Base Are Belong To Google
338,aybabtu,all your base are belong to us
339,ayc,awaiting your comments
340,ayd,are you done
341,aydy,are you done yet
342,ayec,at your earliest convenience
343,ayfk,are you f**king kidding
344,ayfkm,are you f**king kidding me
345,ayfr,are you for real
346,ayfs,Are You f**king Serious
347,ayk,are you kidding
348,aykm,are you kidding me
349,ayl,are you listening
350,aymf,are you my friend
351,ayok,are you okay
352,aypi,And Your Point Is
353,aypi,and your point is
354,ayrft,Are you ready for Tomorrow 
355,ays,are you serious
356,aysm,are you shitting me?
357,ayst,are you still there
358,ayt,are you there
359,ayte,alright
360,aytf,are you there f**ker
361,ayty,are you there yet
362,ayw,as you wish
363,azhol,a**h**e
364,azn,asian
365,azz,ass
366,Ya'll,You all
367, bi,bye
368,b&,banned
369,b'day,birthday
370,b-cuz,because
371,b-day,birthday
372,b.f.f.,best friend forever
373,b.s.,bulls**t
374,b/c,because
375,b/cos,because
376,b/g,background
377,b/s/l,Bisexual/Straight/Lesbian
378,b/t,between
379,b/w,between
380,b00n,new person
381,b00t,boot
382,b0rked,broken
383,b1tch,b***h
384,b2b,business to business
385,b2u,back to you
386,b2w, Back to work
387,b3,be
388,b4,before
389,b4n,bye for now
390,b4u,before you
391,b4ug,before you go
392,b4ul,before you Leave
393,b8,bait
394,b82rez,Batteries
395,b8rez,Batteries
396,[email protected],banned
397,bab,Big ass Boobs
398,babi,baby
399,bae,before anyone else
400,baf,bring a friend
401,baggkyko,"be a good girl, keep your knickers on"
402,bah,I don't really care
403,bai,Bye
404,bak,back
405,bakk,back
406,balz,balls
407,bamf,bad ass mother f**ker
408,bamofo,b***h ass mother f**ker
409,bau,back at you
410,bb,bye bye
411,bb4h,bros before hoes
412,bb4n,Bye-bye for now
413,bbbj,Bare Back Blow Job
414,bbe,baby
415,bbf,best boy friend
416,bbfn,Bye Bye for now
417,bbfs,best boyfriends
418,bbfu,be back for you
419,bbg,baby girl
420,bbi,Baby
421,bbiab,be back in a bit
422,bbiaf,be back in a few
423,bbialb,Be back in a little bit
424,bbiam,be back in a minute
425,bbias,be back in a second
426,bbiaw,be back in a while
427,bbifs,be back in a few seconds
428,bbilb,be back in a little bit
429,bbilfm,be back in like five minutes
430,bbim,Be Back In Minute
431,bbk,"be back, ok?"
432,bbl,be back later
433,bbl8a,Be Back Later
434,bblig,Be back later...i guess
435,bbm,BlackBerry Messenger
436,bbml,be back much later
437,bbn,be back never
438,bbol,be back online later
439,bbp,Banned by parents
440,bbq,be back quick
441,bbrs,be back really soon
442,bbs,be back soon
443,bbsts,be back some time soon
444,bbt,be back tomorrow
445,bbtn,be back tonite
446,bbvl,Be Back Very Later
447,bbw,be back whenever
448,bbwb,best buddy with boobs
449,bbwe,be back whenever
450,bbwl,be back way later
451,bby,baby
452,bbz,babes
453,bc,because
454,bch,b***h
455,bck,back
456,bcnu,be seeing you
457,bcnul8r,be seeing you later
458,bcoz,Because
459,bcurl8,Because you're late.
460,bcuz,because
461,bd,birthday
462,bday,birthday
463,bdfl,Benevolent Dictator For Life
464,be4,before
465,beatch,b***h
466,bebe,baby
467,becuse,because
468,becuz,because
469,beech,b***h
470,beeoch,b***h
471,beezy,b***h
472,beotch,b***h
473,besos,kisses
474,bestie,best friend
475,betch,b***h
476,betcha,bet you
477,bettr,better
478,bewb,boob
479,bewbs,boobs
480,bewbz,boobs
481,bewt,boot
482,beyatch,b***h
483,beyotch,b***h
484,bezzie,best friend
485,bf,boyfriend
486,bf's,boyfriend's
487,bf+gf,boyfriend and girlfriend
488,bf4e,best friends for ever
489,bf4eva,Best Friends forever
490,bf4l,best friends for life
491,bfam,brother from another mother
492,bfd,big f**king deal
493,bfe,Bum f**k Egypt
494,bff,best friend forever
495,bffa,best friends for always
496,bffaa,Best Friends Forever And Always
497,bffae,Best Friends Forever And Ever
498,bffaw,best friends for a while
499,bffe,Best friends forever
500,bffeae,Best Friend For Ever And Ever
501,bffene,Best Friends For Ever And Ever
502,BFFF,Best f**king Friend Forever
503,bffl,best friends for life
504,bffn,best friends for now
505,bfftddup,best friends forever till death do us part
506,bfg,big f**king gun
507,bfh,b***h from hell
508,bfhd,big fat hairy deal
509,bfitww,best friend in the whole world
510,bfn,bye for now
511,bfs,Boyfriends
512,bft,big f**king tits
513,bg,background
514,bh,bloody hell
515,bhwu,back home with you
516,biab,back in a bit
517,biach,b***h
518,biaf,Back In A Few
519,biatch,b***h
520,bibi,bye bye
521,bibifn,bye bye for now
522,bicbw,but I could be wrong
523,bich,b***h
524,bigd,big deal
525,bii,bye
526,bilf,brother i'd like to f**k
527,bilu,baby i love you
528,bion,Believe it or not.
529,biotch,b***h
530,bioya,blow it out your ass
531,bish,b***h
532,bisly,but i still love you 
533,bitd,back in the day
534,bitz,neighborhood
535,biw,boss is watching
536,biwm,bisexual white male
537,biz,Business
538,bizatch,b***h
539,bizi,Busy
540,biznatch,b***h
541,biznitch,b***h
542,bizzle,b***h
543,bj,blowjob
544,bk,back
545,bka,better known as
546,bl,bad luck
547,bleme,blog meme
548,bleve,believe
549,blg,blog
550,blh,bored like hell
551,bling-bling,jewelry
552,blj,blowjob
553,bljb,Blowjob
554,blk,black
555,blkm,Black Male
556,blm,black lives matter
557,blnt,Better Luck Next time
558,blog,web log
559,blogger,web logger
560,blu,blue
561,bm,Bite Me
562,bm&y,between you and me
563,bm4l,best mates for life
564,bma,best mates always
565,bmay,between me and you
566,bmf,be my friend
567,bmfe,best mates forever
568,bmfl,best mates for life
569,bmha,bite my hairy ass
570,bml,bless my life
571,bmoc,Big Man On Campus
572,bmttveot,best mates till the very end of time
573,bmvp,be my valentine please
574,bn,been
575,bndm3ovr,Bend me over
576,bng,being
577,bnib,Brand new in Box
578,bnol,be nice or leave
579,bnr,banner
580,bo,body odour
581,boati,Bend Over And Take It
582,bobfoc,"Body of Baywatch, Face of Crimewatch"
583,bobw,Best of Both Worlds
584,boffum,Both of them
585,bofh,b*****d operator from hell
586,bogo,buy one get one
587,bogof,buy one get one free
588,bogsatt,bunch of guys sitting around the table
589,bohic,Bend over here it comes
590,bohica,"bend over, here it comes again"
591,boi,boy
592,bol,Barking Out Loud
593,bonr,boner
594,boomm,bored out of my mind
595,bord,bored
596,bos,boss over shoulder
597,botoh,but on the other hand
598,bout,about
599,bovered,bothered
600,bowt,about
601,boxor,box
602,bpot,big pair of tits
603,br,bathroom
604,brah,brother
605,brb,be right back
606,Brbb,Be Right Back Babe
607,brbbrb,br right back bath room break
608,brbf,Be Right Back f**ker
609,brbg2p,"be right back, got to pee"
610,brbigtp,"be right back, i got to pee."
611,brbl,be right back later
612,brbmf,be right back mother f**ker
613,brbn2gbr,"Be right back, I need to go to the bathroom"
614,brbs,be right back soon
615,brbts,be right back taking s**t
616,brd,bored
617,brfb,be right f**king back
618,brgds,best regards
619,brh,be right here
620,brk,Break
621,bro,brother
622,bros,brothers
623,broseph,brother
624,brover,Brother
625,brt,be right there
626,bruh,brother
627,bruhh,Brother
628,bruv,brother
629,bruva,brother
630,bruz,brothers
631,bs,bulls**t
632,bsmfh,b*****d System Manager From Hell
633,bsod,blue screen of death
634,bsomn,blowing stuff out my nose
635,bstfu,b***h shut the f**k up
636,bstrd,b*****d
637,bsx,bisexual
638,bsxc,be sexy
639,bt,bit torrent
640,btb,by the by
641,btch,b***h
642,btcn,Better than Chuck Norris
643,btd,bored to death
644,btdt,been there done that
645,btdtgtts,"Been there, done that, got the T-shirt"
646,btfl,beautiful
647,btfo,back the f**k off
648,btfw,by the f**king way
649,bth,be totally honest
650,btias,Be there in a second
651,btm,bottom
652,btr,better
653,bts,be there soon
654,btsoom,Beats The s**t Out Of Me
655,bttt,"been there, tried that"
656,bttyl,be talking to you later
657,btw,by the way
658,btwilu,by the way i love you
659,btwitiailwu,by the way i think i am in love with you
660,btwn,between
661,bty,back to you
662,bubar,bushed up beyond all recognition
663,bubi,bye
664,budzecks,butt sex
665,buhbi,Bye Bye
666,bukket,bucket
667,bur,p***y
668,burma,be undressed ready my angel
669,buszay,busy
670,but6,buttsex
671,butsecks,butt sex
672,butterface,every thing is hot but her face
673,buwu,breaking up with you
674,bw3,Buffalo Wild Wings
675,bwim,by which i mean
676,bwoc,Big Woman On Campus
677,bwpwap,back when Pluto was a planet
678,bwt,but when though
679,byak,blowing you a kiss
680,byeas,good-bye
681,byes,bye bye
682,bykt,But you knew that
683,byob,Bring your own Beer
684,byoc,bring our own computer
685,byoh,bring your own high
686,byow,bring your own weed
687,byself,by myself
688,bytabm,beat you to a bloody mess
689,bytch,b***h
690,bz,busy
691,bzns,buisness
692,bzy,busy
693,bzzy,busy
694,c,see
695,c 2 c,cam to cam (webcams)
696,c&c,Command and Conquer
697,c'mon,Come On
698,c-p,sleepy
699,c.y.a,cover your ass
700,c/b,comment back
701,c/t,can't talk
702,c14n,canonicalization
703,c2,come to
704,c2c,care to chat?
705,c2tc,cut to the chase
706,c4ashg,care for a shag
707,c4y,cool for you
708,[email protected],cat
709,cam,camera
710,cancer stick,cigarette
711,catwot,complete and total waste of time
712,cawk,c**k
713,cayc,call at your convenience
714,cb,come back
715,cba,can't be arsed
716,cbb,can't be bothered
717,cbf,cant be f**ked
718,cbfa,can't be f**king arsed
719,cbfed,can't be f**ked
720,cbi,can't believe it
721,ccl,Couldn't Care Less
722,ccna,Cisco Certified Network Associate
723,cd9,Code 9 (other people nearby)
724,celly,cell phone
725,cex,sex
726,cexy,sexy
727,cfas,care for a secret?
728,cfid,check for identification
729,cfm,come f**k me
730,cg,Congratulations
731,cgad,couldn't give a damn
732,cgaf,couldn't give a f**k
733,cgf,cute guy friend
734,[email protected],chat
735,champs,champions
736,char,character
737,cheezburger,cheeseburger
738,chik,chick
739,chilax,chill and relax in one word
740,chillax,chill and relax
741,chillin,relaxing
742,chk,check
743,chohw,Come Hell or high water
744,chr,character
745,chronic,marijuana
746,chswm,come have sex with me
747,chswmrn,come have sex with me right now
748,chu,you
749,chut,p***y
750,Cicy,Can I call you
751,cid,consider it done
752,cig,cigarette
753,cigs,cigarettes
754,cihswu,can i have sex with you
755,cihyn,can i have your number
756,cilf,child i'd like to f**k
757,cing,seeing
758,cis,computer information science
759,ciwwaf,cute is what we aim for
760,cless,clanless
761,clm,Cool Like Me
762,clt,Cool Like That
763,cluebie,clueless newbie
764,cm,call me
765,cma,Cover My Ass
766,cmao,Crying My Ass Off
767,cmar,cry me a river
768,cmb,comment me back
769,cmbo,combo
770,cmcp,call my cell phone
771,cmeo,crying my eyes out
772,cmh,Call My House
773,cmiiw,correct me if I'm wrong
774,cmitm,Call me in the morning
775,cml,call me later
776,cml8r,call me later
777,cmliuw2,call me later if you want to
778,cmn,call me now
779,cmomc,call me on my cell
780,cmon,Come on
781,cmplcdd,complicated
782,cmplte,complete
783,cmptr,computer
784,cms,content management system
785,cmt,comment
786,cmw,cutting my wrists
787,cn,can
788,cnc,Command and Conquer
789,cnt,can't
790,cob,close of business
791,cod,Call of Duty
792,cod4,call of duty 4
793,cod5,call of duty 5
794,codbo,Call of Duty: Black Ops
795,codbo2,Call of Duty: Black Ops II
796,code 29,moderator is watching
797,code 8,parents are watching
798,code 9,Parents are watching
799,code9,other people near by 
800,cof,Crying on the floor
801,coiwta,come on i wont tell anyone
802,col,crying out loud
803,comin',coming
804,comnt,comment
805,comp,Computer
806,compy,computer
807,congrats,congratulations
808,contrib,contribution
809,contribs,contributions
810,convo,conversation
811,coo,cool
812,cood,could
813,copyvio,copyright violation
814,cos,because
815,cotf,crying on the floor
816,cotm,check out this myspace
817,cowboy choker,cigarette
818,coz,because
819,cp,child porn
820,cpl,Cyber Athlete Professional League
821,cpm,cost per 1000 impressions
822,cptn,captain
823,cpu,computer
824,cpy,copy
825,cr,Can't remember
826,cr8,crate
827,crakalakin,happening
828,Cray-cray,Crazy
829,crazn,crazy asian
830,cre8or,creator
831,crm,customer relationship management
832,crp,crap
833,crs,can't remember s**t
834,crunk,combination of crazy and drunk
835,crzy,crazy
836,cs,Counter-Strike
837,cs:s,Counter-Strike: Source
838,csi,Crime Scene Investigation
839,cskr,c**k sucker
840,csl,can't stop laughing
841,css,cascading style sheets
842,ct,can't talk
843,ctc,call the cell
844,ctf,capture the flag
845,ctfd,calm the f**k down
846,ctfo,chill the f**k out
847,ctfu,cracking the f**k up
848,ctm,chuckle to myself
849,ctn,can't talk now
850,ctnbos,can't talk now boss over shoulder
851,ctncl,Can't talk now call later
852,ctpc,cant talk parent(s) coming
853,ctpos,Can't Talk Parent Over Sholder
854,ctrl,control
855,ctrn,can't talk right now
856,cts,change the subject
857,ctt,change the topic
858,cu,goodbye
859,cu2,see you too
860,cu2nit,see you tonight
861,cu46,see you for sex
862,cubi,can you believe it
863,cud,could
864,cuic,see you in class
865,cul,see you later
866,cul83r,See you later
867,cul8er,see you later
868,cul8r,See You Later
869,cul8tr,see you later
870,culd,Could
871,cunt,vagina
872,cuom,see you on monday
873,cuple,couple
874,curn,calling you right now
875,cut3,cute
876,cuwul,catch up with you later
877,cuz,because
878,cuzz,Because
879,cvq,chucking very quietly
880,cw2cu,can`t wait to see you
881,cwd,comment when done
882,cwm,come with me
883,cwmaos,coffee with milk and one sugar
884,cwot,complete waste of time
885,cwtgypo,can't wait to get your panties off
886,cwyl,chat with ya later
887,cy2,see you too
888,cya,goodbye
889,cyal,see you later
890,cyal8r,see you later
891,cyas,see you soon
892,cyb,cyber
893,cybl,call you back later
894,cybr,cyber
895,cybseckz,cyber sex
896,cye,Close Your Eyes
897,cyff,"change your font, f**ker"
898,cyl,see you later
899,"cyl,a","see ya later, alligator"
900,cyl8,see you later
901,cyl8er,see you later
902,cylbd,catch ya later baby doll
903,cylor,check your local orhtodox rabbi
904,cym,check your mail
905,cyntott,see you next time on Tech Today
906,cyt,see you tomorrow
907,cyu,see you
908,c|n>k,coffee through nose into keyboard
909,Icydci,In case you didn't catch it
910,d&c,divide and conquer
911,d&df,drug & disease free
912,d.t.f,down to f**k
913,d.w,don't worry
914,d/c,disconnected
915,d/l,download
916,d/m,Doesn't Matter
917,d/w,don't worry
918,d00d,dude
919,d1ck,d**k
920,d2,Diablo 2
921,d2m,dead to me
922,d2t,drink to that
923,d8,date
924,da,the
925,da2,Dragon Age 2
926,dadt,Don't ask. Don't tell.
927,dafs,do a f**king search
928,dafuq,What the f**k
929,dah,dumb as hell
930,daii,day
931,damhik,don't ask me how I know
932,damhikijk,Don't Ask Me How I Know - I Just Know
933,damhikt,don't ask me how I know this
934,Daq, don't ask questions 
935,dass,dumb ass
936,dat,that
937,dats,that's
938,dawg,Friend
939,dayum,damn
940,dayumm,damn
941,db,database
942,db4l,drinking buddy for life
943,dbab,don't be a b***h
944,dbafwtt,Don't Be A Fool Wrap The Tool
945,dbag,d****ebag
946,dbeyr,don't believe everything you read
947,dbg,don't be gay
948,dbh,don't be hating
949,dbi,Don't Beg It
950,dbm,don't bother me
951,dbz,DragonBall Z
952,dc,don't care
953,dc'd,disconnected
954,dctnry,dictionary
955,dcw,Doing Class Work
956,dd,don't die
957,ddf,Drug and Disease Free
958,ddg,Drop Dead Gorgeous
959,ddl,direct download
960,ddos,Distributed Denial of Service
961,ddr,dance dance revolution
962,ddt,Don't do that
963,ded,Dead
964,deets,details
965,deez,these
966,def,definitely
967,defs,definetly
968,degmt,Don't Even Give Me That
969,dem,them
970,der,there
971,dernoe,I don't know
972,detai,don't even think about it
973,dewd,Dude
974,dey,they
975,df,Dumb f**k
976,dfc,DON'T f**kING CARE
977,dfo,dumb f**king operator
978,dftba,don't forget to be awesome
979,dftc,down for the count
980,dfu,don't f**k up
981,dfw,down for whatever
982,dfw/m,Don't f**k with Me
983,dfwm,Don't f**k with Me
984,dfwmt,Don't f**king waste my time
985,dg,don't go
986,dga,don't go anywhere
987,dgac,don't give a crap
988,dgaf,don't give a f**k
989,dgara,don't give a rats ass
990,dgas,Don't give a s**t
991,dgms,Don't get me started
992,dgoai,don't go on about it
993,dgt,don't go there
994,dgu,don't give up
995,dgypiab,don't get your panties in a bunch
996,dh,dickhead
997,dhac,Don't have a clue
998,dhcp,Dynamic Host Configuration Protocol
999,dhly,does he like you
1000,dhv,Demonstration of Higher Value
1001,diacf,die in a car fire
1002,diaf,die in a fire
1003,diah,die in a hole
1004,dic,do i care
1005,dick,penis
1006,diez,dies
1007,diff,difference
1008,dih,d**k in hand
1009,dikhed,dickhead
1010,diku,do i know you
1011,diky,Do I know you
1012,dil,Daughter in law
1013,dilf,dad i'd like to f**k
1014,dillic,Do I look like I care
1015,dillifc,do I look like I f**king care
1016,dilligad,do I look like I give a damn
1017,dilligaf,do I look like I give a f**k
1018,dilligas,do i look like i give a s**t
1019,din,didn't
1020,din't,didn't
1021,dirl,Die in real life
1022,dis,this
1023,dit,Details in Thread
1024,diy,do it yourself
1025,dju,did you
1026,dk,don't know
1027,dkdc,"don't know, don't care"
1028,dl,download
1029,dlf,dropping like flies
1030,dlibu,Dont let it bother you
1031,dln,don't look now
1032,dm,deathmatch
1033,dmaf,do me a favor
1034,dmba*,dumbass
1035,dmi,don't mention it
1036,dmn,damn
1037,dmu,don't mess up
1038,dmwm,don't mess with me
1039,dmy,don't mess yourself
1040,dn,don't know
1041,dnd,Do Not Disturb
1042,dndp,Do not double post
1043,dnimb,dancing naked in my bra
1044,dnk,do not know
1045,dno,don't know
1046,dnrta,did not read the article
1047,dnrtfa,did not read the f**king article
1048,dns,Domain Name System
1049,dnt,don't
1050,dnw,Do not want
1051,doa,dead on arrival
1052,dob,date of birth
1053,dod,Day of Defeat
1054,dogg,friend
1055,doin,doing
1056,doin',doing
1057,don,denial of normal
1058,doncha,Don't you
1059,donno,don't know
1060,dont,don't
1061,dontcha,don't you
1062,dood,dude
1063,doodz,dudes
1064,dos,denial of service
1065,dotc,dancing on the ceiling
1066,doypov,depends on your point of view
1067,dp,display picture
1068,dpmo,don't piss me off
1069,dprsd,depressed
1070,dqmot,don't quote me on this
1071,dqydj,don't quit your day job
1072,dr00d,druid
1073,drc,don't really care
1074,drm,dream
1075,drood,druid
1076,dsided,decided
1077,dsu,don't screw up
1078,dt,double team
1079,dta,Don't Trust Anyone
1080,dtb,don't text back
1081,Dtf,Down to f**k
1082,dth,down to hang
1083,dtl,damn the luck
1084,dtp,Don't Type Please
1085,dtrt,do the right thing
1086,dts,Don't think so
1087,dttm,don't talk to me
1088,dttml,don't talk to me loser
1089,dttpou,Don't tell the police on us
1090,dttriaa,don't tell the RIAA
1091,du2h,damn you to hell
1092,ducy,do you see why
1093,dugi,do you get it?
1094,dugt,did you get that?
1095,dui,driving under the influence
1096,duk,did you know
1097,dulm,do you like me
1098,dum,dumb
1099,dun,don't
1100,dunna,i don't know
1101,dunno,I don't know
1102,duno,don't know
1103,dupe,duplicate
1104,dutma,don't you text me again
1105,dvda,"double vaginal, double anal"
1106,dw,don't worry
1107,dwai,don't worry about it
1108,dwb,Driving while black
1109,dwbh,"don't worry, be happy"
1110,dwbi,Don't worry about it.
1111,dwi,deal with it
1112,dwioyot,Deal With It On Your Own Time
1113,dwmt,don't waste my time
1114,dwn,down
1115,dwt,don't wanna talk
1116,dwud,do what you do
1117,dwy,don't wet yourself
1118,dy2h,damn you to hell
1119,dya,Do you
1120,dyac,damn you auto correct
1121,dycotfc,do you cyber on the first chat
1122,dyec,Don't You Ever Care
1123,dygtp,did you get the picture
1124,dyk,did you know
1125,dylh,do you like him
1126,dylm,do you love me
1127,dylos,do you like oral sex
1128,dym,Do you mind
1129,dymm,do you miss me
1130,dynk,do you not know
1131,dynm,do you know me
1132,dyt,Don't you think
1133,dyth,Damn You To Hell
1134,dyw,don't you worry
1135,dyw2gwm,do you want to go with me
1136,dywtmusw,do you want to meet up some where
1137,Idkwtfytb,I dont know what the f**k you're talking about
1138,dept,department
1139,e-ok,Electronically OK
1140,e.g.,example
1141,e4u2s,easy for you to say
1142,eabod,eat a bag of dicks
1143,ead,eat a d**k
